Working Electrode (V),Current (mA)
-0.521540463,-0.318010309
-0.520523965,-0.311693409
-0.519527376,-0.307670358
-0.51853317,-0.304335059
-0.517531753,-0.300796557
-0.5165537,-0.297195773
-0.515576422,-0.294638274
-0.514548361,-0.290772092
-0.513582945,-0.287120725
-0.512606561,-0.284067995
-0.511594653,-0.280548295
-0.510606766,-0.275834493
-0.509647965,-0.277271116
-0.508639038,-0.270723453
-0.507729173,-0.268486037
-0.506740212,-0.265409792
-0.505734503,-0.261837675
-0.504780948,-0.249537232
-0.503747404,-0.26023385
-0.502740324,-0.253532693
-0.501766801,-0.249843986
-0.500786245,-0.247804564
-0.499755114,-0.244613446
-0.498766392,-0.241327478
-0.497761637,-0.238876251
-0.496743619,-0.235820131
-0.495777279,-0.233774423
-0.494827777,-0.230386519
-0.493787557,-0.227526485
-0.492795944,-0.225639029
-0.491826713,-0.22239158
-0.490800679,-0.220048751
-0.489787847,-0.217236477
-0.488785326,-0.215009786
-0.487778634,-0.21208424
-0.486762673,-0.209826219
-0.485743284,-0.2068248
-0.484780312,-0.204545169
-0.48376435,-0.200837167
-0.482798815,-0.199641901
-0.481819928,-0.197935224
-0.480802149,-0.194911423
-0.479781926,-0.192937499
-0.478821665,-0.189888422
-0.477805227,-0.187066486
-0.47679913,-0.186152887
-0.475829452,-0.181051888
-0.474804878,-0.179284791
-0.473777235,-0.180540766
-0.472814322,-0.175264096
-0.471836388,-0.174710382
-0.470836312,-0.171635402
-0.469830632,-0.169726627
-0.468851358,-0.168717321
-0.467818171,-0.164894504
-0.466834575,-0.163711884
-0.465848625,-0.14550316
-0.46483624,-0.184450793
-0.463812113,-0.157239207
-0.462861806,-0.155938949
-0.461850822,-0.153544956
-0.460834861,-0.151069806
-0.459856659,-0.150415304
-0.458890527,-0.149000625
-0.457934082,-0.14439979
-0.456935316,-0.142912482
-0.455929041,-0.140845237
-0.45491758,-0.137145107
-0.453912675,-0.137815819
-0.452924192,-0.1354462
-0.451884389,-0.133257112
-0.450933129,-0.131029388
-0.449954212,-0.119953591
-0.448933184,-0.130341097
-0.447973639,-0.125285005
-0.447004855,-0.118871219
-0.445981801,-0.12427909
-0.444999039,-0.119436721
-0.443987906,-0.108895081
-0.442953706,-0.12247682
-0.441963047,-0.115470917
-0.440959036,-0.111243397
-0.439960927,-0.110099689
-0.438973814,-0.108137945
-0.437986255,-0.105702071
-0.437000394,-0.105214109
-0.436000049,-0.102144964
-0.435024768,-0.100570789
-0.434027731,-9.84E-02
-0.43301028,-9.67E-02
-0.432017595,-9.44E-02
-0.431026012,-9.27E-02
-0.429991931,-9.08E-02
-0.429011524,-8.95E-02
-0.428038567,-8.70E-02
-0.427018791,-8.54E-02
-0.42601645,-8.36E-02
-0.425036073,-8.17E-02
-0.424019516,-7.96E-02
-0.423001796,-7.79E-02
-0.422038496,-7.60E-02
-0.421044707,-7.46E-02
-0.420033038,-7.26E-02
-0.419061661,-7.06E-02
-0.418067157,-6.89E-02
-0.417050749,-6.84E-02
-0.416071594,-6.55E-02
-0.415100187,-6.37E-02
-0.414097041,-6.16E-02
-0.413126737,-5.98E-02
-0.4121297,-5.81E-02
-0.411122739,-5.62E-02
-0.410142571,-5.39E-02
-0.409128577,-5.24E-02
-0.408093631,-5.01E-02
-0.407107919,-4.88E-02
-0.406152308,-4.29E-02
-0.40514192,-5.22E-02
-0.404182374,-4.38E-02
-0.403178453,-4.18E-02
-0.402160376,-4.01E-02
-0.401135713,-3.83E-02
-0.400135547,-3.67E-02
-0.399134487,-3.49E-02
-0.398144275,-3.34E-02
-0.397170216,-3.16E-02
-0.396185219,-2.84E-02
-0.395198405,-2.85E-02
-0.394212633,-2.68E-02
-0.393208623,-2.47E-02
-0.392173648,-2.26E-02
-0.391204089,-1.53E-02
-0.390188664,1.65E-02
-0.389161676,-2.48E-02
-0.388174295,-1.72E-02
-0.387207359,-1.43E-02
-0.38619867,-1.27E-02
-0.385210603,-1.02E-02
-0.384257764,-8.45E-03
-0.383242518,-7.54E-03
-0.382251382,-6.09E-03
-0.381277502,-1.54E-02
-0.380247921,-1.97E-03
-0.379225254,-4.12E-04
-0.378255814,1.43E-03
-0.377255231,3.79E-03
-0.376274407,6.77E-03
-0.375305057,6.34E-03
-0.374320745,8.44E-03
-0.373321444,1.03E-02
-0.372348517,1.24E-02
-0.371327609,1.93E-02
-0.370304108,1.32E-02
-0.369342476,2.57E-02
-0.368347883,3.81E-02
-0.367337853,3.34E-02
-0.366359919,3.47E-02
-0.365384817,3.44E-02
-0.364395857,3.75E-02
-0.363413423,3.30E-02
-0.362419724,4.09E-02
-0.361393869,4.08E-02
-0.360407799,4.54E-02
-0.359401345,4.79E-02
-0.358408302,4.67E-02
-0.35738641,4.69E-02
-0.356400818,4.87E-02
-0.355387062,5.27E-02
-0.354395658,6.60E-02
-0.353464544,6.58E-02
-0.352467209,5.68E-02
-0.351493657,6.05E-02
-0.350529045,6.30E-02
-0.349491894,6.45E-02
-0.348487765,6.82E-02
-0.347484082,6.85E-02
-0.346475691,7.19E-02
-0.345460892,7.35E-02
-0.344518811,7.61E-02
-0.343539834,7.84E-02
-0.342545509,8.12E-02
-0.341579974,8.30E-02
-0.340556294,8.65E-02
-0.3395679,8.72E-02
-0.338593364,9.01E-02
-0.337654501,9.07E-02
-0.336698741,9.39E-02
-0.335675418,9.66E-02
-0.33467105,9.83E-02
-0.333677411,0.101047255
-0.332702667,0.104170729
-0.331694633,0.106689673
-0.33073169,0.108893648
-0.329725593,0.111693771
-0.328709722,0.114207382
-0.327696681,0.118327393
-0.326748908,0.11954498
-0.325734138,0.123690639
-0.324754655,0.124131286
-0.323778212,0.127047242
-0.322782815,0.130171611
-0.321818948,0.132905392
-0.320845097,0.135296475
-0.319828063,0.115651819
-0.318831086,0.128669461
-0.317861974,0.132173678
-0.316845804,0.135432652
-0.315851629,0.139029667
-0.314881176,0.148165811
-0.313882649,0.139938347
-0.312899709,0.146421167
-0.311917156,0.156137394
-0.310920358,0.151291868
-0.309956342,0.155009955
-0.308969855,0.158390045
-0.307945549,0.161360309
-0.306965768,0.16430128
-0.305991381,0.168403712
-0.304966807,0.169400839
-0.303975672,0.173160341
-0.303001821,0.175749083
-0.301989406,0.179907147
-0.301016659,0.183749013
-0.300022691,0.18404788
-0.299030751,0.188254489
-0.298037916,0.191275176
-0.297069758,0.194810505
-0.296075195,0.197026369
-0.295078099,0.200653725
-0.294093668,0.203749281
-0.293078691,0.206560682
-0.292079896,0.210121769
-0.291109592,0.21353933
-0.290099561,0.216985383
-0.289101958,0.220707108
-0.288136125,0.224137999
-0.287135869,0.227687429
-0.286133915,0.230949998
-0.285176247,0.234468302
-0.284180939,0.238130349
-0.283210039,0.240966547
-0.282240719,0.244857016
-0.281226158,0.248962722
-0.280234396,0.251262885
-0.279258609,0.257472449
-0.278241694,0.260374451
-0.277229726,0.263881753
-0.276262909,0.267379306
-0.275265902,0.271639321
-0.274302989,0.274867925
-0.273345828,0.278514519
-0.272359461,0.282862253
-0.271380574,0.285948423
-0.270395309,0.291100587
-0.269353002,0.30162296
-0.268382728,0.295574922
-0.267411411,0.302185566
-0.266394734,0.3066973
-0.265423328,0.309827534
